country,counterfactual_version,phase,n_months,mean_observed,mean_counterfactual,mean_gap,cumulative_gap,percent_gap_vs_counterfactual_mean,share_months_above_counterfactual,share_months_above_upper_95,share_counterfactual_exceeds_100,country_label
Canada,raw,Post_COVID,31,84.64516129032258,105.55364405560404,-20.908482765281445,-648.1629657237248,-19.80839501312449,0.0,0.0,0.8064516129032258,Canada
Ireland,capped,COVID_period,41,82.36585365853658,89.57679438538561,-7.210940726849025,-295.64856980081004,-8.0500098003345,0.2682926829268293,0.0,0.0,Ireland
Ireland,capped,Post_COVID,31,76.96774193548387,99.61694407091127,-22.649202135427405,-702.1252661982495,-22.73629486094736,0.0,0.0,0.0,Ireland
Ireland,logit,COVID_period,41,82.36585365853658,91.99981767086787,-9.633964012331278,-394.9925245055824,-10.471720766661816,0.024390243902439025,0.0,0.0,Ireland
Ireland,logit,Post_COVID,31,76.96774193548387,97.8439315597307,-20.876189624246837,-647.1618783516519,-21.33621297862767,0.0,0.0,0.0,Ireland
Ireland,raw,COVID_period,41,82.36585365853658,89.64723975201093,-7.281386093474347,-298.53682983244823,-8.122264682790764,0.2682926829268293,0.0,0.04878048780487805,Ireland
Ireland,raw,Post_COVID,31,76.96774193548387,107.99120862585663,-31.023466690372747,-961.7274674015551,-28.72777060756473,0.0,0.0,0.9032258064516129,Ireland
New_Zealand,capped,COVID_period,41,89.07317073170732,95.95630387955819,-6.8831331478508835,-282.20845906188623,-7.17319537077044,0.12195121951219512,0.0,0.0,New Zealand
New_Zealand,capped,Post_COVID,31,84.06451612903226,100.0,-15.935483870967742,-494.0,-15.935483870967742,0.0,0.0,0.0,New Zealand
New_Zealand,logit,COVID_period,41,89.07317073170732,92.83752157629189,-3.7643508445845693,-154.33838462796734,-4.054773092462519,0.2926829268292683,0.04878048780487805,0.0,New Zealand
New_Zealand,logit,Post_COVID,31,84.06451612903226,97.73899679605539,-13.674480667023136,-423.9089006777172,-13.990813406399747,0.03225806451612903,0.03225806451612903,0.0,New Zealand
New_Zealand,raw,COVID_period,41,89.07317073170732,98.65339942998695,-9.58022869827963,-392.7893766294648,-9.710997039771138,0.12195121951219512,0.0,0.43902439024390244,New Zealand
New_Zealand,raw,Post_COVID,31,84.06451612903226,122.82832687579445,-38.76381074676219,-1201.678133149628,-31.559341181908827,0.0,0.0,1.0,New Zealand
UK,capped,COVID_period,41,88.5609756097561,92.31525920076595,-3.7542835910098455,-153.92562723140367,-4.066807181730467,0.2682926829268293,0.04878048780487805,0.0,United Kingdom
UK,capped,Post_COVID,31,86.83870967741936,99.62516284593163,-12.786453168512267,-396.3800482238803,-12.834561874981592,0.0,0.0,0.0,United Kingdom
UK,logit,COVID_period,41,88.5609756097561,89.11556216607634,-0.5545865563202353,-22.73804880912965,-0.6223229061684021,0.5365853658536586,0.17073170731707318,0.0,United Kingdom
UK,logit,Post_COVID,31,86.83870967741936,94.59468558754128,-7.755975910121907,-240.4352532137791,-8.19916664657049,0.03225806451612903,0.0,0.0,United Kingdom
UK,raw,COVID_period,41,88.5609756097561,92.69418432730542,-4.133208717549327,-169.46155741952242,-4.458973071012597,0.2682926829268293,0.04878048780487805,0.17073170731707318,United Kingdom
UK,raw,Post_COVID,31,86.83870967741936,108.320061294028,-21.481351616608634,-665.9219001148676,-19.83136951732224,0.0,0.0,0.8709677419354839,United Kingdom
US,capped,COVID_period,41,85.36585365853658,87.98794193200861,-2.6220882734720163,-107.50561921235267,-2.9800541027521668,0.2682926829268293,0.0,0.0,United States
US,capped,Post_COVID,31,90.16129032258064,99.52350025675611,-9.36220993417548,-290.22850795943987,-9.407034429076896,0.0,0.0,0.0,United States
US,logit,COVID_period,41,85.36585365853658,83.71420332820307,1.6516503303335117,67.71766354367398,1.9729630871098258,0.7317073170731707,0.17073170731707318,0.0,United States
US,logit,Post_COVID,31,90.16129032258064,90.68649249959307,-0.5252021770124164,-16.28126748738491,-0.5791404679310682,0.3225806451612903,0.12903225806451613,0.0,United States
US,raw,COVID_period,41,85.36585365853658,87.98794193200861,-2.6220882734720163,-107.50561921235267,-2.9800541027521668,0.2682926829268293,0.0,0.0,United States
US,raw,Post_COVID,31,90.16129032258064,105.07657764367167,-14.915287321091016,-462.3739069538215,-14.194683206823402,0.0,0.0,0.8387096774193549,United States
Australia,capped,Full_2020_2025,72,85.56944444444444,97.1195498276886,-11.550105383244155,-831.6075875935792,-11.892667751999033,0.013888888888888888,0.0,0.0,Australia
Australia,logit,Full_2020_2025,72,85.56944444444444,93.55166554248399,-7.98222109803956,-574.7199190588483,-8.532420082264219,0.09722222222222222,0.027777777777777776,0.0,Australia
Australia,raw,Full_2020_2025,72,85.56944444444444,102.36229774198195,-16.792853297537505,-1209.0854374227004,-16.40531100607586,0.013888888888888888,0.0,0.5833333333333334,Australia
Canada,capped,Full_2020_2025,72,87.02777777777777,95.59043585687853,-8.56265807910076,-616.5113816952547,-8.957651466221037,0.19444444444444445,0.0,0.0,Canada
Canada,logit,Full_2020_2025,72,87.02777777777777,89.97658726299609,-2.948809485218325,-212.31428293571938,-3.2773075473502167,0.3472222222222222,0.05555555555555555,0.0,Canada
Canada,raw,Full_2020_2025,72,87.02777777777777,98.53555658999693,-11.507778812219145,-828.5600744797785,-11.678808351489419,0.19444444444444445,0.0,0.4305555555555556,Canada
Ireland,capped,Full_2020_2025,72,80.04166666666667,93.89963661109806,-13.857969944431382,-997.7738359990594,-14.758278566962527,0.1527777777777778,0.0,0.0,Ireland
Ireland,logit,Full_2020_2025,72,80.04166666666667,94.51603337301715,-14.474366706350477,-1042.1544028572343,-15.314191878139779,0.013888888888888888,0.0,0.0,Ireland
Ireland,raw,Full_2020_2025,72,80.04166666666667,97.54533746158339,-17.503670794916715,-1260.2642972340034,-17.94413884908671,0.1527777777777778,0.0,0.4166666666666667,Ireland
New_Zealand,capped,Full_2020_2025,72,86.91666666666667,97.69733970919287,-10.780673042526198,-776.2084590618863,-11.03476622251546,0.06944444444444445,0.0,0.0,New Zealand
New_Zealand,logit,Full_2020_2025,72,86.91666666666667,94.94787896257895,-8.031212295912287,-578.2472853056846,-8.45854839904066,0.18055555555555555,0.041666666666666664,0.0,New Zealand
New_Zealand,raw,Full_2020_2025,72,86.91666666666667,109.06204874693184,-22.14538208026518,-1594.4675097790928,-20.305305406146772,0.06944444444444445,0.0,0.6805555555555556,New Zealand
UK,capped,Full_2020_2025,72,87.81944444444444,95.46257882576782,-7.643134381323389,-550.305675455284,-8.006419348122941,0.1527777777777778,0.027777777777777776,0.0,United Kingdom
UK,logit,Full_2020_2025,72,87.81944444444444,91.47462919476263,-3.6551847503181767,-263.17330202290873,-3.9958453863046146,0.3194444444444444,0.09722222222222222,0.0,United Kingdom
UK,raw,Full_2020_2025,72,87.81944444444444,99.42199246575541,-11.602548021310971,-835.3834575343899,-11.670001509281073,0.1527777777777778,0.027777777777777776,0.4722222222222222,United Kingdom
US,capped,Full_2020_2025,72,87.43055555555556,92.9546406551638,-5.5240850996082305,-397.7341271717926,-5.942774949882351,0.1527777777777778,0.0,0.0,United States
US,logit,Full_2020_2025,72,87.43055555555556,86.71616116588488,0.7143943896706815,51.43639605628907,0.8238307370457403,0.5555555555555556,0.1527777777777778,0.0,United States
US,raw,Full_2020_2025,72,87.43055555555556,95.3455489745302,-7.914993418974642,-569.8795261661742,-8.301376943237262,0.1527777777777778,0.0,0.3611111111111111,United States
